City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,date
Faanui,48,PF,1611944616,66,-16.4833,-151.75,81.16,7.85,2021-01-29 18:23:36
Kaniama,68,CD,1611944616,87,-7.5667,24.1833,69.73,1.05,2021-01-29 18:23:36
Bathsheba,20,BB,1611944616,61,13.2167,-59.5167,84.2,17.27,2021-01-29 18:23:36
Mataura,16,NZ,1611944617,95,-46.1927,168.8643,38.88,2.01,2021-01-29 18:23:37
Guerrero Negro,2,MX,1611944617,56,27.9769,-114.0611,63.39,8.72,2021-01-29 18:23:37
Albany,87,US,1611944406,45,42.6001,-73.9662,15.01,3.0,2021-01-29 18:20:06
Rikitea,92,PF,1611944618,69,-23.1203,-134.9692,78.98,4.32,2021-01-29 18:23:38
Isangel,35,VU,1611944618,81,-19.55,169.2667,76.57,13.0,2021-01-29 18:23:38
Alofi,100,NU,1611944618,94,-19.0595,-169.9187,77.0,9.22,2021-01-29 18:23:38
Butaritari,97,KI,1611944619,79,3.0707,172.7902,80.1,16.73,2021-01-29 18:23:39
Punta Arenas,75,CL,1611944557,57,-53.15,-70.9167,48.2,26.46,2021-01-29 18:22:37
Bariloche,0,AR,1611944619,21,-41.1456,-71.3082,77.0,19.57,2021-01-29 18:23:39
Cape Town,0,ZA,1611944473,68,-33.9258,18.4232,71.01,17.27,2021-01-29 18:21:13
Ushuaia,75,AR,1611944483,81,-54.8,-68.3,39.2,31.07,2021-01-29 18:21:23
Cidreira,14,BR,1611944392,82,-30.1811,-50.2056,81.5,8.52,2021-01-29 18:19:52
Laguna,90,US,1611944530,87,38.421,-121.4238,46.99,5.75,2021-01-29 18:22:10
Arraial do Cabo,0,BR,1611944621,58,-22.9661,-42.0278,95.0,20.71,2021-01-29 18:23:41
Jamestown,90,US,1611944424,68,42.097,-79.2353,21.99,17.27,2021-01-29 18:20:24
Benguela,60,AO,1611944621,68,-12.5763,13.4055,78.39,8.37,2021-01-29 18:23:41
Kaitangata,22,NZ,1611944622,89,-46.2817,169.8464,43.29,6.53,2021-01-29 18:23:42
