City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,date
Mahon,20,ES,1612055710,93,39.8885,4.2658,48.2,5.75,2021-01-31 01:15:10
Baracoa,100,CU,1612055710,80,20.3467,-74.4958,71.98,13.6,2021-01-31 01:15:10
Saskylakh,100,RU,1612055710,82,71.9167,114.0833,-33.81,11.7,2021-01-31 01:15:10
Thompson,90,CA,1612055698,92,55.7435,-97.8558,14.0,2.89,2021-01-31 01:14:58
Korla,0,CN,1612055711,85,41.7597,86.1469,18.37,4.43,2021-01-31 01:15:11
Bambous Virieux,40,MU,1612055711,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:15:11
Olinda,20,BR,1612055711,69,-8.0089,-34.8553,78.8,8.05,2021-01-31 01:15:11
Antofagasta,20,CL,1612055712,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:15:12
Yellowknife,20,CA,1612055595,77,62.456,-114.3525,-11.99,4.61,2021-01-31 01:13:15
Ribeira Grande,97,PT,1612055712,91,38.5167,-28.7,63.16,22.06,2021-01-31 01:15:12
Rikitea,0,PF,1612055535,70,-23.1203,-134.9692,79.5,11.34,2021-01-31 01:12:15
Yarkovo,100,RU,1612055713,96,57.4028,67.0786,14.32,6.53,2021-01-31 01:15:13
Saldanha,0,ZA,1612055713,92,-33.0117,17.9442,63.63,1.63,2021-01-31 01:15:13
Mahon,20,ES,1612055710,93,39.8885,4.2658,48.2,5.75,2021-01-31 01:15:10
Baracoa,100,CU,1612055710,80,20.3467,-74.4958,71.98,13.6,2021-01-31 01:15:10
Saskylakh,100,RU,1612055710,82,71.9167,114.0833,-33.81,11.7,2021-01-31 01:15:10
Thompson,90,CA,1612055698,92,55.7435,-97.8558,14.0,2.89,2021-01-31 01:14:58
Korla,0,CN,1612055711,85,41.7597,86.1469,18.37,4.43,2021-01-31 01:15:11
Bambous Virieux,40,MU,1612055711,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:15:11
Olinda,20,BR,1612055711,69,-8.0089,-34.8553,78.8,8.05,2021-01-31 01:15:11
Antofagasta,20,CL,1612055712,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:15:12
Yellowknife,20,CA,1612055595,77,62.456,-114.3525,-11.99,4.61,2021-01-31 01:13:15
Mahon,20,ES,1612055710,93,39.8885,4.2658,48.2,5.75,2021-01-31 01:15:10
Baracoa,100,CU,1612055710,80,20.3467,-74.4958,71.98,13.6,2021-01-31 01:15:10
Saskylakh,100,RU,1612055710,82,71.9167,114.0833,-33.81,11.7,2021-01-31 01:15:10
Thompson,90,CA,1612055698,92,55.7435,-97.8558,14.0,2.89,2021-01-31 01:14:58
Korla,0,CN,1612055711,85,41.7597,86.1469,18.37,4.43,2021-01-31 01:15:11
Bambous Virieux,40,MU,1612055711,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:15:11
Olinda,20,BR,1612055711,69,-8.0089,-34.8553,78.8,8.05,2021-01-31 01:15:11
Antofagasta,20,CL,1612055712,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:15:12
Yellowknife,20,CA,1612055595,77,62.456,-114.3525,-11.99,4.61,2021-01-31 01:13:15
Ribeira Grande,97,PT,1612055712,91,38.5167,-28.7,63.16,22.06,2021-01-31 01:15:12
Rikitea,0,PF,1612055535,70,-23.1203,-134.9692,79.5,11.34,2021-01-31 01:12:15
Yarkovo,100,RU,1612055713,96,57.4028,67.0786,14.32,6.53,2021-01-31 01:15:13
Saldanha,0,ZA,1612055713,92,-33.0117,17.9442,63.63,1.63,2021-01-31 01:15:13
Puerto Ayora,51,EC,1612055713,89,-0.7393,-90.3518,78.01,5.99,2021-01-31 01:15:13
Barrow,90,US,1612055702,76,71.2906,-156.7887,-16.6,4.61,2021-01-31 01:15:02
Port Hawkesbury,90,CA,1612055857,80,45.6169,-61.3485,26.01,16.11,2021-01-31 01:17:37
Kalispell,90,US,1612055857,75,48.1958,-114.3129,36.0,4.61,2021-01-31 01:17:37
Clyde River,90,CA,1612055857,84,70.4692,-68.5914,-4.0,2.3,2021-01-31 01:17:37
Lagos,10,NG,1612055857,90,6.5833,3.75,78.6,3.6,2021-01-31 01:17:37
Canto do Buriti,100,BR,1612055858,95,-8.11,-42.9444,68.83,2.35,2021-01-31 01:17:38
Yumen,0,CN,1612055858,73,40.2833,97.2,21.65,22.82,2021-01-31 01:17:38
Arman',69,RU,1612055728,78,59.7,150.1667,-12.59,17.98,2021-01-31 01:15:28
Carnarvon,6,AU,1612055858,70,-24.8667,113.6333,86.0,4.61,2021-01-31 01:17:38
Vila Velha,75,BR,1612055858,78,-20.3297,-40.2925,78.8,6.91,2021-01-31 01:17:38
Upernavik,100,GL,1612055660,87,72.7868,-56.1549,-9.13,6.98,2021-01-31 01:14:20
Jamestown,1,US,1612055806,79,42.097,-79.2353,18.0,3.18,2021-01-31 01:16:46
Klyuchi,100,RU,1612055859,95,52.2667,79.1667,8.06,7.87,2021-01-31 01:17:39
Puerto Escondido,40,MX,1612055616,74,15.85,-97.0667,80.6,4.61,2021-01-31 01:13:36
Albany,5,US,1612055860,60,42.6001,-73.9662,17.01,7.74,2021-01-31 01:17:40
